place_id,name,location_lat,location_lng,types,rating,total_reviews,address,is_amusement_park,is_aquarium,is_art_gallery,is_bowling_alley,is_library,is_movie_theater,is_mosque,is_cafe,is_church,is_night_club,is_park,is_point_of_interest,is_museum,is_restaurant,is_zoo,family,romantic,cheap,kids,expensive,friends
ChIJ57LpVBGtXkERP-vHt2FY4p4,Научная библиотека КФУ им. Н. И. Лобачевского,55.79233829999999,49.1225415,"library,point_of_interest,establishment",4.0,9,"ул. Кремлевская, 35, Казань, Респ. Татарстан, Россия, 420111",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJXTnO5g6yXkERmYxYKjkNMYk,Библиотечный пункт,55.780227000000004,49.2327749,"library,point_of_interest,establishment",0.0,0,"ул. Галии Кайбицкой, 3, Казань, Респ. Татарстан, Россия, 420100",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJs1M9_K9SWUERJFm3uHVDAaA,"ГБУК РТ ""Республиканская юношеская библиотека""",55.828934700000005,49.09713319999999,"library,point_of_interest,establishment",5.0,4,"пр. Ибрагимова, 53Б, Казань, Респ. Татарстан, Россия, 420044",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJgbxTJH9NWUERU_78SfFl26w,Библиотека № 25,55.859691000000005,49.078741,"library,point_of_interest,establishment",3.0,2,"ул. Побежимова, 47, Казань, Респ. Татарстан, Россия, 420036",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ4ZmR_VFNWUERbzqPZpHdf4k,Детская библиотека Филиал № 45,55.8384723,49.134524600000006,"library,point_of_interest,establishment",5.0,3,"пр. Фатыха Амирхана, 24, Казань, Респ. Татарстан, Россия, 420132",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ3_jJqLayXkERlVDFmLt6mf8,Библиотека № 40,55.833666,49.158716,"library,point_of_interest,establishment",5.0,1,"ул. Гаврилова, 20-б, Казань, Респ. Татарстан, Россия, 420133",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJ8Z3caKNSWUERJT__gJEIoU4,Библиотека № 29,55.835127,49.09045279999999,"library,point_of_interest,establishment",0.0,0,"ул. Восстания, 26, Казань, Респ. Татарстан, Россия, 420095",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJTVIHydmtXkERWafmtAbzvro,Библиотека № 13 МУК ЦБС,55.749996200000005,49.191095700000005,"library,point_of_interest,establishment",3.8,4,"ул. Хусаина Мавлютова, 17Б, Казань, Респ. Татарстан, Россия, 420055",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJOVGLI36tXkERjJxwHBxNo38,"Централизованная библиотечная система г. Казани, филиал № 47",55.7994345,49.1784888,"library,point_of_interest,establishment",5.0,1,"ул. Николая Ершова, 57, Казань, Респ. Татарстан, Россия, 420045",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ChIJUbs5LsFSWUERLJR9Ai-ti9E,Библиотека-филиал № 27,55.824861,49.067659,"library,point_of_interest,establishment",4.5,2,"ул. Галимджана Баруди, 25А, Казань, Респ. Татарстан, Россия, 420102",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
